,Name,Season,Matches,W,D,L,Goals,Points,PPM
422,Brendan Rodgers,2010/11,55,30,9,16,90:51,99,1.80
423,Brendan Rodgers,2011/12,41,13,11,17,50:58,50,1.22
424,Brendan Rodgers,2012/13,54,25,15,14,98:64,90,1.67
425,Brendan Rodgers,2013/14,43,29,6,8,110:55,93,2.16
426,Brendan Rodgers,2014/15,58,27,13,18,92:87,94,1.62
427,Brendan Rodgers,2015/16,11,4,5,2,14:15,17,1.55
428,Brendan Rodgers,2016/17,59,46,8,5,150:50,146,2.47
429,Brendan Rodgers,2017/18,61,39,11,11,126:54,128,2.10
430,Brendan Rodgers,2018/19,59,38,8,13,118:41,122,2.07
431,Brendan Rodgers,2019/20,48,25,9,14,91:53,84,1.75
432,Brendan Rodgers,2020/21,53,30,8,15,95:61,98,1.85
433,Brendan Rodgers,2021/22,58,24,14,20,108:94,86,1.48
434,Brendan Rodgers,2022/23,35,12,4,19,51:54,40,1.14
435,Brendan Rodgers,2023/24,50,35,7,8,121:56,112,2.24
436,Pep Guardiola,2008/09,62,42,13,7,158:55,139,2.24
437,Pep Guardiola,2009/10,59,45,10,4,138:39,145,2.46
438,Pep Guardiola,2010/11,62,45,11,6,152:39,146,2.35
439,Pep Guardiola,2011/12,64,47,13,4,190:48,154,2.41
440,Pep Guardiola,2013/14,56,45,5,6,155:48,140,2.50
441,Pep Guardiola,2014/15,52,37,5,10,128:41,116,2.23
442,Pep Guardiola,2015/16,53,42,6,5,131:39,132,2.49
443,Pep Guardiola,2016/17,56,33,13,10,122:60,112,2.00
444,Pep Guardiola,2017/18,57,46,4,7,151:50,142,2.49
445,Pep Guardiola,2018/19,61,52,3,6,176:43,159,2.61
446,Pep Guardiola,2019/20,59,42,5,12,154:57,131,2.22
447,Pep Guardiola,2020/21,61,47,6,8,131:42,147,2.41
448,Pep Guardiola,2021/22,58,41,8,9,153:55,131,2.26
449,Pep Guardiola,2022/23,61,44,10,7,151:46,142,2.33
450,Pep Guardiola,2023/24,59,44,8,7,158:66,140,2.37
451,José Mourinho,2000/01,13,7,4,2,20:10,25,1.92
452,José Mourinho,2001/02,39,21,9,9,72:42,72,1.85
453,José Mourinho,2002/03,53,41,7,5,118:38,130,2.45
454,José Mourinho,2003/04,55,38,12,5,98:36,126,2.29
455,José Mourinho,2004/05,59,42,11,6,108:34,137,2.32
456,José Mourinho,2005/06,54,37,8,9,100:39,119,2.20
457,José Mourinho,2006/07,64,42,16,6,118:46,142,2.22
458,José Mourinho,2007/08,8,3,3,2,9:11,12,1.50
459,José Mourinho,2008/09,51,31,12,8,92:53,105,2.06
460,José Mourinho,2009/10,57,37,13,7,99:46,124,2.18
461,José Mourinho,2010/11,59,44,9,6,148:43,141,2.39
462,José Mourinho,2011/12,58,45,7,6,175:56,142,2.45
463,José Mourinho,2012/13,61,38,12,11,153:72,126,2.07
464,José Mourinho,2013/14,57,35,9,13,104:48,114,2.00
465,José Mourinho,2014/15,54,36,14,4,109:46,122,2.26
466,José Mourinho,2015/16,25,9,4,12,40:37,31,1.24
467,José Mourinho,2016/17,64,37,18,9,105:46,129,2.02
468,José Mourinho,2017/18,56,37,7,12,101:40,118,2.11
469,José Mourinho,2018/19,24,10,6,8,45:43,36,1.50
470,José Mourinho,2019/20,35,16,8,11,58:48,56,1.60
471,José Mourinho,2020/21,51,29,9,13,115:62,96,1.88
472,José Mourinho,2021/22,55,29,12,14,95:62,99,1.80
473,José Mourinho,2022/23,55,26,12,17,74:55,90,1.64
474,José Mourinho,2023/24,28,13,6,9,46:30,45,1.61
475,Carlo Ancelotti,1995/96,8,2,3,3,11:15,9,1.13
476,Carlo Ancelotti,1996/97,37,19,9,9,44:32,66,1.78
477,Carlo Ancelotti,1997/98,50,23,18,9,80:53,87,1.74
478,Carlo Ancelotti,1998/99,20,9,7,4,27:20,34,1.70
479,Carlo Ancelotti,1999/00,52,32,12,8,87:40,108,2.08
480,Carlo Ancelotti,2000/01,42,22,14,6,71:41,80,1.90
481,Carlo Ancelotti,2001/02,39,17,14,8,52:37,65,1.67
482,Carlo Ancelotti,2002/03,61,33,14,14,100:56,113,1.85
483,Carlo Ancelotti,2003/04,53,35,9,9,91:51,114,2.15
484,Carlo Ancelotti,2004/05,56,36,11,9,99:47,119,2.13
485,Carlo Ancelotti,2005/06,54,36,9,9,113:48,117,2.17
486,Carlo Ancelotti,2006/07,59,31,16,12,91:56,109,1.85
487,Carlo Ancelotti,2007/08,51,25,13,13,88:51,88,1.73
488,Carlo Ancelotti,2008/09,47,26,12,9,86:46,90,1.91
489,Carlo Ancelotti,2009/10,56,40,7,9,149:50,127,2.27
490,Carlo Ancelotti,2010/11,53,28,10,15,101:52,94,1.77
491,Carlo Ancelotti,2011/12,23,14,6,3,52:28,48,2.09
492,Carlo Ancelotti,2012/13,54,35,11,8,105:45,116,2.15
493,Carlo Ancelotti,2013/14,60,46,8,6,160:49,146,2.43
494,Carlo Ancelotti,2014/15,59,43,6,10,162:54,135,2.29
495,Carlo Ancelotti,2016/17,50,36,7,7,132:40,115,2.30
496,Carlo Ancelotti,2017/18,10,7,1,2,29:14,22,2.20
497,Carlo Ancelotti,2018/19,52,30,10,12,92:50,100,1.92
498,Carlo Ancelotti,2019/20,42,16,15,11,59:51,63,1.50
499,Carlo Ancelotti,2020/21,46,23,8,15,69:60,77,1.67
500,Carlo Ancelotti,2021/22,56,39,8,9,119:50,125,2.23
501,Carlo Ancelotti,2022/23,61,41,8,12,131:65,131,2.15
502,Carlo Ancelotti,2023/24,55,42,11,2,133:53,137,2.49
503,Xavi,2018/19,7,4,1,2,14:11,13,1.86
504,Xavi,2019/20,40,24,6,10,98:59,78,1.95
505,Xavi,2020/21,40,30,5,5,122:42,95,2.38
506,Xavi,2021/22,46,28,10,8,101:55,94,2.04
507,Xavi,2022/23,53,36,6,11,105:48,114,2.15
508,Xavi,2023/24,53,35,8,10,110:69,113,2.13
509,Zinédine Zidane,2014/15,19,6,3,10,23:25,21,1.11
510,Zinédine Zidane,2015/16,46,32,10,4,106:40,106,2.30
511,Zinédine Zidane,2016/17,60,44,11,5,173:72,143,2.38
512,Zinédine Zidane,2017/18,62,39,14,9,148:69,131,2.11
513,Zinédine Zidane,2018/19,11,5,2,4,16:14,17,1.55
514,Zinédine Zidane,2019/20,51,33,11,7,103:44,110,2.16
515,Zinédine Zidane,2020/21,52,31,12,9,88:46,105,2.02
516,Luis Enrique,2008/09,38,15,15,8,50:38,60,1.58
517,Luis Enrique,2009/10,44,24,14,6,73:39,86,1.95
518,Luis Enrique,2010/11,42,20,11,11,85:62,71,1.69
519,Luis Enrique,2011/12,42,17,9,16,64:59,60,1.43
520,Luis Enrique,2013/14,40,15,7,18,50:58,52,1.30
521,Luis Enrique,2014/15,60,50,4,6,175:38,154,2.57
522,Luis Enrique,2015/16,62,46,9,7,173:51,147,2.37
523,Luis Enrique,2016/17,59,42,9,8,171:58,135,2.29
524,Luis Enrique,2018/19,6,4,0,2,17:8,12,2.00
525,Luis Enrique,2020/21,25,13,8,4,50:23,47,1.88
526,Luis Enrique,2021/22,6,3,1,2,16:7,10,1.67
527,Luis Enrique,2022/23,7,4,2,1,11:6,14,2.00
528,Luis Enrique,2023/24,53,34,12,7,124:52,114,2.15
529,Fabio Capello,1992/93,54,34,16,4,107:39,118,2.19
530,Fabio Capello,1993/94,54,29,19,6,66:25,106,1.96
531,Fabio Capello,1994/95,53,26,12,15,77:51,90,1.70
532,Fabio Capello,1995/96,46,29,12,5,89:39,99,2.15
533,Fabio Capello,1996/97,48,31,12,5,96:41,105,2.19
534,Fabio Capello,1997/98,44,16,14,14,53:52,62,1.41
535,Fabio Capello,1999/00,46,19,14,13,71:39,71,1.54
536,Fabio Capello,2000/01,44,28,11,5,89:42,95,2.16
537,Fabio Capello,2001/02,51,24,20,7,77:40,92,1.80
538,Fabio Capello,2002/03,54,21,17,16,85:72,80,1.48
539,Fabio Capello,2003/04,46,27,10,9,84:30,91,1.98
540,Fabio Capello,2004/05,52,33,12,7,85:39,111,2.13
541,Fabio Capello,2005/06,53,35,12,6,96:42,117,2.21
542,Fabio Capello,2006/07,50,28,12,10,91:55,96,1.92
543,Fabio Capello,2007/08,4,3,0,1,7:2,9,2.25
544,Fabio Capello,2008/09,14,11,1,2,42:11,34,2.43
545,Fabio Capello,2009/10,10,5,3,2,15:12,18,1.80
546,Fabio Capello,2010/11,12,7,4,1,23:10,25,2.08
547,Fabio Capello,2011/12,2,2,0,0,2:0,6,3.00
548,Fabio Capello,2012/13,14,8,4,2,26:9,28,2.00
549,Fabio Capello,2013/14,9,4,4,1,11:6,16,1.78
550,Fabio Capello,2014/15,10,5,3,2,19:7,18,1.80
551,Fabio Capello,2016/17,21,7,7,7,31:27,28,1.33
